,index,duration_min,session,day,Dialy_Average,percentage
406,2018-07-14,0.366,2,Saturday,1.6,-0.77125
407,2018-07-15,6.468999999999999,8,Sunday,1.5,3.3126666666666664
408,2018-07-16,8.233,7,Monday,1.4,4.880714285714286
409,2018-07-17,3.983,2,Tuesday,1.4,1.8450000000000002
410,2018-07-18,0.28400000000000003,3,Wednesday,1.4,-0.7971428571428572
411,2018-07-19,5.9159999999999995,4,Thursday,1.3,3.5507692307692302
412,2018-07-20,34.984,8,Friday,1.3,25.910769230769233
413,2018-07-21,4.667,3,Saturday,1.6,1.9168749999999997
414,2018-07-22,0.167,1,Sunday,1.5,-0.8886666666666666
415,2018-07-23,0.334,2,Monday,1.4,-0.7614285714285713
416,2018-07-24,7.667,3,Tuesday,1.4,4.476428571428571
417,2018-07-25,6.899999999999999,4,Wednesday,1.4,3.9285714285714275
